wheel,timestamp,state
right,1588322448.39,0.140380796468
left,1588322448.39,0.112064719272
right,1588322448.4,0.129581579596
left,1588322448.4,0.101364257797
right,1588322448.41,0.118894397167
left,1588322448.41,0.0907904875853
right,1588322448.42,0.108317809387
 left,1588322448.42,0.080341704769
right,1588322448.43,0.0978506771651
left,1588322448.43,0.0700164355257
right,1588322448.44,0.0874918241666
left,1588322448.44,0.0598132293214
right,1588322448.45,0.0772400741413
 left,1588322448.45,0.0497306281648
right,1588322448.46,0.0670942453893
left,1588322448.46,0.039767167027
right,1588322448.47,0.0570532049455
left,1588322448.47,0.0299214209704
right,1588322448.48,0.047115863934
left,1588322448.48,0.0201920281287
right,1588322448.49,0.0372812476967
left,1588322448.49,0.010577935962
right,1588322448.5,0.0275488304929
